Instance,LDEG,GDEG,Dummy-HyperHeuristic,Genetic-HyperHeuristic
50_ep0.2_0_gilbert_10.in,0.94,0.94,0.94,0.94
100_ep0.075_0_gilbert_9.in,0.96,0.96,0.96,0.96
100_ep0.1_0_gilbert_6.in,0.97,0.96,0.96,0.96
50_ep0.1_0_gilbert_9.in,0.9,0.92,0.92,0.92
500_ep0.015_0_gilbert_7.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_7.in,0.994,0.994,0.994,0.994
100_ep0.05_0_gilbert_7.in,0.93,0.94,0.93,0.94
50_ep0.15_0_gilbert_2.in,0.92,0.92,0.92,0.92
50_ep0.2_0_gilbert_3.in,0.92,0.92,0.92,0.92
500_ep0.02_0_gilbert_2.in,0.992,0.99,0.99,0.99
100_ep0.1_0_gilbert_2.in,0.96,0.96,0.96,0.96
100_ep0.075_0_gilbert_10.in,0.96,0.96,0.96,0.96
1000_ep0.01_0_gilbert_8.in,0.995,0.995,0.995,0.995
500_ep0.015_0_gilbert_3.in,0.99,0.99,0.99,0.99
100_ep0.05_0_gilbert_3.in,0.95,0.95,0.95,0.95
1000_ep0.0075_0_gilbert_3.in,0.994,0.994,0.994,0.994
50_ep0.15_0_gilbert_6.in,0.94,0.94,0.94,0.94
50_ep0.2_0_gilbert_7.in,0.94,0.94,0.94,0.94
100_ep0.05_0_gilbert_10.in,0.94,0.95,0.94,0.95
100_ep0.1_0_gilbert_5.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_5.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_10.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_9.in,0.996,0.996,0.996,0.996
500_ep0.015_0_gilbert_4.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_10.in,0.995,0.995,0.995,0.995
1000_ep0.0075_0_gilbert_4.in,0.001,0.994,0.001,0.994
100_ep0.05_0_gilbert_4.in,0.95,0.95,0.95,0.95
100_ep0.1_0_gilbert_10.in,0.96,0.96,0.96,0.96
50_ep0.15_0_gilbert_1.in,0.92,0.94,0.94,0.94
100_ep0.1_0_gilbert_1.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_1.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_9.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_4.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_5.in,0.92,0.92,0.92,0.92
500_ep0.015_0_gilbert_1.in,0.99,0.988,0.988,0.988
100_ep0.05_0_gilbert_1.in,0.93,0.93,0.93,0.93
1000_ep0.0075_0_gilbert_1.in,0.994,0.994,0.994,0.994
500_ep0.025_0_gilbert_8.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_5.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_4.in,0.92,0.94,0.94,0.94
100_ep0.1_0_gilbert_4.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_4.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_8.in,0.996,0.996,0.996,0.996
500_ep0.015_0_gilbert_5.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_5.in,0.994,0.994,0.994,0.994
100_ep0.05_0_gilbert_5.in,0.96,0.96,0.96,0.96
50_ep0.2_0_gilbert_1.in,0.94,0.94,0.94,0.94
1000_ep0.0125_0_gilbert_3.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_5.in,0.995,0.995,0.995,0.995
500_ep0.025_0_gilbert_7.in,0.992,0.992,0.992,0.992
50_ep0.1_0_gilbert_10.in,0.92,0.92,0.92,0.92
1000_ep0.0125_0_gilbert_7.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_1.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_4.in,0.9,0.92,0.92,0.92
100_ep0.075_0_gilbert_4.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_3.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_10.in,0.995,0.995,0.995,0.995
1000_ep0.0125_0_gilbert_6.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_5.in,0.9,0.92,0.92,0.92
100_ep0.075_0_gilbert_5.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_2.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_2.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_4.in,0.995,0.995,0.995,0.995
50_ep0.1_0_gilbert_1.in,0.88,0.88,0.88,0.88
100_ep0.075_0_gilbert_1.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_6.in,0.992,0.992,0.992,0.992
